,0
76799,0
88011,0
21715,1
51191,0
120727,0
25234,1
45006,1
119932,0
74423,0
98441,0
127373,0
32395,1
119072,0
27252,1
79931,0
139574,0
25663,1
78582,0
52094,0
11244,1
18044,1
72984,0
9089,1
11748,1
6706,1
472,1
23619,1
147792,0
110141,0
42231,1
67047,0
92352,0
109035,0
149307,0
103765,0
15081,1
78484,0
33480,1
158585,0
9813,1
109609,0
74538,0
51737,0
12858,1
112472,0
5226,1
98130,0
137811,0
148354,0
71627,0
156903,0
102031,0
31770,1
29570,1
129374,0
1082,1
2981,1
7524,1
45686,0
125313,0
85076,0
53280,0
131732,0
65225,0
106547,0
107732,0
90921,0
5248,1
4055,1
99893,0
77276,0
47206,0
31856,1
14943,1
125945,0
37478,1
117681,0
106859,0
110929,0
142980,0
92832,0
98632,0
46846,0
88554,0
60934,0
657,1
41770,1
132380,0
33768,1
30495,1
27369,1
14745,1
90913,0
148118,0
291,1
77822,0
93177,0
56988,0
145603,0
77247,0
88138,0
59580,0
83716,0
70792,0
3785,1
74153,0
133752,0
50122,0
31445,1
99518,0
86366,0
59585,0
94567,0
124066,0
5144,1
61373,0
57332,0
15180,1
34137,1
64975,0
91544,0
79094,0
31848,1
156885,0
2725,1
94890,0
27316,1
34145,1
45258,0
77345,0
58947,0
149415,0
86847,0
48733,0
91400,0
108258,0
3390,1
22112,1
144043,0
1558,1
2990,1
50403,0
35482,1
146861,0
58274,0
46405,0
92540,0
17935,1
136149,0
51562,0
118330,0
131955,0
77305,0
103775,0
76190,0
55369,0
24766,1
23165,1
20057,1
44959,1
54986,0
88459,0
132742,0
45939,0
50929,0
74497,0
138602,0
9720,1
111943,0
52046,0
11546,1
103025,0
89055,0
111545,0
157888,0
115097,0
51723,0
131101,0
112818,0
131296,0
6528,1
55162,0
33811,1
19226,1
12214,1
2312,1
97537,0
30342,1
134393,0
36509,1
135307,0
54184,0
35841,1
89924,0
101478,0
24155,1
109724,0
120313,0
149414,0
56948,0
123437,0
76310,0
94621,0
15683,1
102932,0
74121,0
148261,0
24763,1
134887,0
92438,0
69094,0
114599,0
74610,0
95008,0
74294,0
112342,0
112225,0
11830,1
81935,0
58131,0
57720,0
14029,1
63909,0
112884,0
13621,1
17230,1
25928,1
140201,0
66370,0
114092,0
151766,0
73248,0
64326,0
132314,0
51092,0
1571,1
91759,0
103424,0
77199,0
143177,0
23839,1
116372,0
105723,0
92372,0
86268,0
9027,1
116452,0
62217,0
23206,1
16078,1
50992,0
80147,0
84513,0
105641,0
139092,0
99214,0
68347,0
70254,0
30334,1
40845,1
131450,0
153707,0
36634,1
28674,1
71185,0
88536,0
145467,0
116118,0
47334,0
132735,0
79,1
115231,0
85488,0
147333,0
148593,0
76839,0
141690,0
159322,0
54744,0
48803,0
158137,0
83722,0
51512,0
8842,1
52237,0
132919,0
113028,0
102089,0
32765,1
50470,0
71773,0
27940,1
38126,1
107354,0
78422,0
22527,1
74506,0
57556,0
157936,0
140180,0
10576,1
35018,1
90369,0
49152,0
52036,0
43395,1
58180,0
50919,0
97666,0
41323,1
58968,0
80732,0
84482,0
19698,1
62315,0
80560,0
136642,0
5153,1
111254,0
102735,0
139053,0
41377,1
135089,0
106630,0
58781,0
10716,1
96039,0
96683,0
15898,1
61642,0
66565,0
84640,0
80287,0
103303,0
74025,0
135303,0
136437,0
12451,1
106342,0
35976,1
105522,0
77882,0
113894,0
122778,0
138385,0
147729,0
92617,0
6934,1
112879,0
112337,0
12417,1
4947,1
157699,0
51876,0
119916,0
137183,0
45353,0
31203,1
122006,0
99736,0
152415,0
15039,1
55341,0
115950,0
50960,0
156161,0
58340,0
126102,0
126171,0
33718,1
34926,1
48163,0
53427,0
17965,1
53901,0
61433,0
95398,0
3409,1
70899,0
43949,1
2779,1
67304,0
109610,0
123839,0
73190,0
138018,0
76906,0
41095,1
132334,0
28522,1
28481,1
129121,0
107055,0
116032,0
94518,0
51289,0
23097,1
85403,0
45505,0
148250,0
73434,0
95463,0
116285,0
26240,1
49358,0
43297,1
37906,1
48957,0
135474,0
137475,0
137483,0
109679,0
18110,1
21094,1
10048,1
130321,0
142993,0
113523,0
107233,0
69210,0
54110,0
122197,0
30329,1
137798,0
82836,0
4374,1
5180,1
85068,0
9380,1
148001,0
111385,0
22064,1
91237,0
42459,1
79132,0
62005,0
117390,0
140562,0
52967,0
92239,0
91376,0
52826,0
141665,0
47263,0
120653,0
78713,0
13287,1
24724,1
138826,0
157459,0
56179,0
61643,0
37838,1
116245,0
16626,1
102102,0
69034,0
45101,0
58813,0
113745,0
95941,0
132951,0
147032,0
12817,1
122326,0
106264,0
90823,0
26459,1
16822,1
24940,1
106199,0
13225,1
115895,0
42419,1
114306,0
94484,0
55190,0
62045,0
23429,1
113122,0
144297,0
81726,0
93169,0
59745,0
115703,0
23198,1
117943,0
77842,0
38109,1
97562,0
72530,0
40956,1
84181,0
10793,1
61034,0
12486,1
110692,0
9845,1
32150,1
140156,0
144589,0
12589,1
36285,1
26946,1
43131,1
74508,0
95630,0
56250,0
130026,0
116546,0
47498,0
65188,0
146551,0
84389,0
90105,0
62175,0
121707,0
41439,1
117757,0
104118,0
62614,0
91700,0
89333,0
124602,0
36742,1
41780,1
13741,1
135512,0
6390,1
101290,0
66150,0
155019,0
78888,0
151520,0
118106,0
3835,1
97732,0
75181,0
44645,1
97420,0
4177,1
34804,1
123424,0
19512,1
64181,0
139475,0
124358,0
40418,1
11849,1
21092,1
90298,0
66447,0
127036,0
65748,0
84139,0
71813,0
90014,0
119544,0
4423,1
86866,0
120214,0
40702,1
103115,0
154980,0
88249,0
26266,1
103297,0
65456,0
142835,0
121770,0
11653,1
107969,0
69190,0
89989,0
46587,0
12629,1
97861,0
43568,1
85381,0
44062,1
80779,0
60967,0
6308,1
66137,0
116474,0
87634,0
70503,0
159035,0
38042,1
153859,0
64610,0
97718,0
67534,0
141894,0
72944,0
124660,0
101973,0
6059,1
55516,0
29800,1
98941,0
53530,0
9263,1
1956,1
145267,0
120120,0
143228,0
81834,0
90909,0
107121,0
55450,0
70751,0
56889,0
104619,0
100938,0
159251,0
153527,0
63950,0
121539,0
94548,0
41232,1
16385,1
33650,1
114334,0
85858,0
136693,0
44921,1
122379,0
47279,0
112661,0
46328,0
111298,0
50225,0
102596,0
5443,1
78667,0
87023,0
50233,0
74668,0
120820,0
74065,0
142801,0
64494,0
36980,1
104439,0
125910,0
8786,1
139832,0
104689,0
66305,0
20319,1
113063,0
74076,0
42437,1
81846,0
117226,0
56172,0
6045,1
10246,1
156979,0
65247,0
128532,0
132575,0
126953,0
79697,0
80690,0
122126,0
69756,0
139125,0
1126,1
155317,0
56004,0
105551,0
131242,0
43378,1
11293,1
113761,0
155246,0
153021,0
96965,0
140973,0
105338,0
19007,1
91347,0
152120,0
32952,1
129750,0
83773,0
68860,0
117094,0
146830,0
60776,0
91767,0
117305,0
97757,0
127941,0
115310,0
119272,0
81070,0
137394,0
104368,0
125792,0
117327,0
83463,0
68717,0
98984,0
52718,0
135131,0
95229,0
159617,0
135755,0
37903,1
145659,0
53833,0
41838,1
91565,0
490,1
73278,0
40097,1
1000,1
97753,0
32898,1
32066,1
55486,0
22505,1
139063,0
90723,0
105764,0
52808,0
133626,0
128047,0
48027,0
146525,0
131179,0
21790,1
80382,0
141590,0
129267,0
114072,0
127841,0
144929,0
78196,0
130512,0
60926,0
77220,0
53029,0
96086,0
16724,1
129128,0
105972,0
60726,0
61665,0
2139,1
2755,1
139724,0
80188,0
108916,0
103383,0
68562,0
83405,0
69704,0
95507,0
140857,0
86978,0
94284,0
132357,0
154173,0
65509,0
57977,0
65627,0
37251,1
152462,0
49482,0
86323,0
26849,1
109317,0
133566,0
59511,0
148628,0
49777,0
148501,0
49490,0
87916,0
34486,1
82287,0
58396,0
116523,0
138150,0
128246,0
110325,0
8932,1
122583,0
110420,0
57840,0
25866,1
159727,0
64736,0
136945,0
149733,0
128712,0
21582,1
93684,0
127455,0
70004,0
28047,1
111878,0
106866,0
120325,0
79422,0
107642,0
55819,0
20806,1
53469,0
12387,1
108140,0
29794,1
130336,0
157455,0
42308,1
117969,0
81432,0
62242,0
116902,0
37734,1
84769,0
50895,0
27484,1
74960,0
14859,1
137491,0
5159,1
150505,0
90535,0
33849,1
40238,1
74682,0
154593,0
112905,0
69514,0
41248,1
108458,0
120051,0
55630,0
117105,0
67257,0
63499,0
22580,1
42102,1
68270,0
45872,0
95195,0
106860,0
4038,1
37234,1
111347,0
156433,0
147397,0
2025,1
24562,1
513,1
86624,0
42899,1
146676,0
149669,0
128117,0
17891,1
12415,1
31545,1
106770,0
35721,1
65360,0
43196,1
114971,0
139206,0
122002,0
81041,0
25477,1
16617,1
68615,0
56871,0
118605,0
146121,0
64680,0
96900,0
157483,0
32553,1
111431,0
129843,0
150745,0
120593,0
106431,0
23436,1
50089,0
97763,0
156686,0
51312,0
112953,0
111612,0
37296,1
66671,0
94573,0
158975,0
102021,0
65544,0
119717,0
147645,0
140309,0
20071,1
87611,0
111955,0
146068,0
20335,1
24631,1
105778,0
26873,1
154491,0
49606,0
135365,0
73719,0
115360,0
124299,0
45722,0
93201,0
94286,0
149749,0
17074,1
778,1
86221,0
95990,0
141359,0
122318,0
43503,1
67070,0
61308,0
111646,0
140347,0
99158,0
94711,0
39994,1
80579,0
40040,1
264,1
113570,0
59541,0
91353,0
92056,0
45188,0
84823,0
28126,1
86150,0
123216,0
59663,0
147022,0
27149,1
13950,1
65606,0
100766,0
137858,0
14764,1
148377,0
28941,1
22069,1
14552,1
22841,1
64228,0
154506,0
158956,0
85826,0
97496,0
46041,0
156861,0
75748,0
102853,0
94280,0
108414,0
137564,0
156833,0
58364,0
24708,1
124056,0
152474,0
137698,0
87018,0
106242,0
104401,0
45936,0
151834,0
32176,1
104909,0
127473,0
72059,0
63725,0
77459,0
95635,0
10316,1
112205,0
47942,0
10939,1
149432,0
139755,0
48014,0
136464,0
57019,0
13605,1
12240,1
126087,0
43771,1
116050,0
92368,0
100292,0
25791,1
22781,1
63716,0
143274,0
2155,1
73157,0
26983,1
100176,0
147706,0
137994,0
135558,0
139384,0
158070,0
85864,0
121478,0
118621,0
152948,0
148623,0
83652,0
57264,0
81184,0
16305,1
66049,0
24901,1
9980,1
36752,1
155043,0
60462,0
70698,0
113555,0
75856,0
1213,1
129435,0
53398,0
8583,1
150097,0
51398,0
151462,0
17244,1
112917,0
139866,0
46228,0
46014,0
14789,1
22012,1
147315,0
112341,0
44549,1
75240,0
86501,0
82026,0
138121,0
66825,0
69510,0
74700,0
14402,1
41108,1
53957,0
143325,0
114648,0
117023,0
108553,0
39883,1
53904,0
155046,0
88548,0
75635,0
87152,0
157938,0
7413,1
92048,0
55330,0
18084,1
81037,0
72758,0
119709,0
34170,1
71567,0
111836,0
16033,1
124111,0
12118,1
95595,0
105050,0
137727,0
86215,0
7340,1
17272,1
130301,0
36815,1
140941,0
29374,1
132557,0
57687,0
77726,0
71871,0
141583,0
154474,0
28008,1
17867,1
155913,0
129324,0
143969,0
9048,1
33791,1
32564,1
30076,1
144619,0
111319,0
124094,0
109225,0
39783,1
155578,0
131290,0
12141,1
5450,1
132981,0
61884,0
67560,0
131562,0
36952,1
5935,1
36094,1
88907,0
28801,1
54838,0
24880,1
561,1
157881,0
57631,0
107650,0
67637,0
44427,1
32422,1
114367,0
122880,0
106288,0
84975,0
42078,1
106443,0
46918,0
104553,0
52991,0
56164,0
8696,1
124002,0
99387,0
26136,1
14040,1
69386,0
74114,0
61278,0
139365,0
149568,0
85215,0
157255,0
3297,1
872,1
92751,0
61867,0
32464,1
134637,0
96015,0
135242,0
152276,0
78717,0
118378,0
137454,0
138625,0
135787,0
42491,1
91190,0
141503,0
70047,0
125767,0
61106,0
48592,0
7007,1
7233,1
25051,1
80586,0
157461,0
65080,0
83646,0
130830,0
9762,1
82258,0
37015,1
123925,0
64381,0
138587,0
636,1
159229,0
55800,0
60276,0
61880,0
42186,1
50409,0
86837,0
3679,1
45821,0
41229,1
28826,1
67561,0
89377,0
145103,0
105353,0
90740,0
108185,0
136158,0
73818,0
83987,0
59955,0
8611,1
49245,0
118220,0
115576,0
6847,1
121322,0
66389,0
140793,0
150947,0
12013,1
36946,1
84130,0
158575,0
159738,0
26062,1
155520,0
31046,1
41882,1
38269,1
59051,0
29222,1
85903,0
55371,0
76802,0
151762,0
126890,0
10582,1
149350,0
120961,0
141274,0
5221,1
84919,0
150374,0
33323,1
27482,1
84149,0
14262,1
46612,0
140468,0
78673,0
115362,0
101956,0
97916,0
42494,1
96452,0
156285,0
102833,0
4247,1
41812,1
128276,0
156739,0
59414,0
129995,0
25562,1
157072,0
82987,0
81668,0
27140,1
125808,0
159267,0
151110,0
37331,1
137637,0
11193,1
4782,1
39972,1
76256,0
50558,0
90352,0
74145,0
97618,0
97958,0
130123,0
134733,0
142121,0
72475,0
96431,0
61929,0
127179,0
95510,0
37671,1
78346,0
40671,1
19361,1
107924,0
80447,0
14424,1
118566,0
51547,0
126393,0
135678,0
102375,0
155695,0
63259,0
85305,0
147096,0
32793,1
75548,0
155121,0
114544,0
1450,1
53782,0
143649,0
44843,1
48582,0
121861,0
25374,1
18519,1
120783,0
37181,1
48986,0
56858,0
134109,0
103122,0
106136,0
65920,0
8247,1
113967,0
102490,0
76073,0
131381,0
78186,0
13668,1
12571,1
87820,0
123880,0
62035,0
55029,0
132467,0
5164,1
122240,0
72642,0
92090,0
151212,0
49239,0
63249,0
127449,0
129610,0
144192,0
58500,0
50691,0
126516,0
57285,0
68027,0
146432,0
62047,0
32118,1
39635,1
129396,0
122830,0
91258,0
34647,1
146791,0
18623,1
35920,1
91676,0
84822,0
132606,0
147241,0
132253,0
106108,0
70668,0
9224,1
49091,0
124601,0
45106,0
84957,0
79235,0
112056,0
158959,0
93125,0
68682,0
35549,1
104850,0
99827,0
83936,0
109995,0
82292,0
51441,0
124019,0
158650,0
46628,0
5074,1
43502,1
91887,0
51799,0
87780,0
126721,0
1445,1
133880,0
57266,0
23724,1
102042,0
145957,0
83201,0
29456,1
34722,1
135008,0
24078,1
135481,0
17029,1
16227,1
143451,0
154315,0
87939,0
130456,0
43261,1
29295,1
138846,0
38494,1
38445,1
12029,1
74527,0
73612,0
140075,0
60700,0
145502,0
43384,1
77218,0
35337,1
82952,0
58697,0
71837,0
102356,0
153758,0
96384,0
142584,0
152375,0
152253,0
134591,0
96067,0
65310,0
64375,0
34007,1
77065,0
24481,1
134992,0
28015,1
130667,0
94274,0
129250,0
1766,1
121352,0
141832,0
53651,0
98009,0
156597,0
128149,0
76335,0
155337,0
40835,1
48248,0
111534,0
35136,1
94125,0
146873,0
19795,1
64336,0
135747,0
123720,0
115221,0
116777,0
84647,0
26484,1
21663,1
127961,0
111533,0
2892,1
93309,0
74008,0
21624,1
81235,0
158739,0
22950,1
157214,0
133540,0
33471,1
65709,0
20418,1
155516,0
136671,0
157883,0
12426,1
140980,0
112124,0
44095,1
38212,1
87561,0
40085,1
89965,0
137972,0
144993,0
105460,0
73141,0
61768,0
148993,0
132199,0
129288,0
146762,0
95437,0
59668,0
70889,0
53587,0
31948,1
75534,0
110063,0
5439,1
14293,1
81495,0
12160,1
4311,1
19585,1
147100,0
151366,0
77971,0
141562,0
80968,0
99419,0
109823,0
64661,0
119862,0
75553,0
148222,0
122432,0
33928,1
46391,0
151600,0
26509,1
151352,0
155454,0
123883,0
128148,0
105595,0
113186,0
55375,0
41934,1
123072,0
126588,0
70643,0
80897,0
54910,0
28263,1
100829,0
27998,1
1272,1
43359,1
67142,0
33892,1
43471,1
114559,0
123739,0
120348,0
5899,1
93261,0
69090,0
3872,1
149652,0
132560,0
8174,1
39164,1
70050,0
87667,0
47324,0
138020,0
148220,0
76393,0
117119,0
151290,0
63901,0
64376,0
40306,1
13838,1
12189,1
97906,0
150,1
80378,0
44415,1
11922,1
159070,0
18472,1
139773,0
141372,0
97379,0
25764,1
70183,0
11334,1
76801,0
132174,0
89626,0
134427,0
62743,0
37001,1
9307,1
22933,1
130063,0
27541,1
117209,0
127781,0
52273,0
37739,1
47675,0
12792,1
35004,1
120971,0
106396,0
1539,1
75446,0
12690,1
17799,1
149106,0
29705,1
127049,0
23466,1
149842,0
25347,1
114833,0
111182,0
84891,0
158452,0
87619,0
103708,0
98291,0
17346,1
105545,0
54816,0
64640,0
139553,0
8990,1
45319,0
22976,1
155669,0
79728,0
118581,0
70166,0
51665,0
53262,0
124786,0
95716,0
9941,1
70289,0
141782,0
17163,1
147865,0
46892,0
63925,0
84397,0
50701,0
15367,1
148881,0
78155,0
29791,1
66570,0
63150,0
48959,0
106961,0
85136,0
85994,0
134965,0
115222,0
57211,0
15565,1
97249,0
1107,1
121282,0
153244,0
136645,0
80793,0
158782,0
71526,0
63647,0
76019,0
27496,1
123182,0
1507,1
80943,0
26209,1
36119,1
58152,0
128110,0
139128,0
42395,1
90058,0
53196,0
96935,0
93705,0
81898,0
141717,0
1977,1
135118,0
83353,0
39439,1
47132,0
106704,0
46204,0
46220,0
64174,0
140601,0
40909,1
20194,1
66290,0
17452,1
156483,0
134479,0
132988,0
93076,0
32933,1
123840,0
114538,0
7894,1
153693,0
31354,1
12480,1
1353,1
135903,0
158762,0
88759,0
32431,1
151807,0
39087,1
75712,0
14935,1
113390,0
903,1
128158,0
15076,1
46548,0
115796,0
80821,0
109902,0
19193,1
148209,0
75196,0
47932,0
78751,0
125127,0
67845,0
123512,0
32945,1
81753,0
105387,0
91585,0
69239,0
84580,0
132917,0
89529,0
105781,0
12661,1
134428,0
96983,0
12304,1
86436,0
95917,0
110561,0
25747,1
105499,0
128198,0
151763,0
69832,0
139183,0
97471,0
33858,1
135043,0
33141,1
134986,0
39976,1
124847,0
56708,0
4369,1
62098,0
78666,0
136646,0
84667,0
112801,0
115821,0
69358,0
40993,1
159100,0
86342,0
139511,0
117354,0
68741,0
15236,1
8947,1
104294,0
43227,1
55541,0
143064,0
145944,0
20857,1
130836,0
5327,1
45260,0
3499,1
74268,0
41772,1
12557,1
34160,1
158330,0
89909,0
69275,0
52108,0
78192,0
146395,0
109432,0
18734,1
13671,1
155493,0
50480,0
123595,0
105026,0
20892,1
57824,0
124431,0
86476,0
48431,0
24630,1
103806,0
75583,0
3836,1
115240,0
146452,0
152065,0
145934,0
155292,0
138136,0
